"TIME","GEO","WST_OPER","UNIT","Value","Flag and Footnotes"
"2013","Former Yugoslav Republic of Macedonia, the","Composting and digestion","Kilograms per capita",":",""
"2014","Former Yugoslav Republic of Macedonia, the","Composting and digestion","Kilograms per capita",":",""
"2015","Former Yugoslav Republic of Macedonia, the","Composting and digestion","Kilograms per capita",":",""
"2005","Malta","Composting and digestion","Kilograms per capita","45",""
"2006","Malta","Composting and digestion","Kilograms per capita","70",""
"2007","Malta","Composting and digestion","Kilograms per capita","15",""
"2008","Malta","Composting and digestion","Kilograms per capita","0",""
"2009","Malta","Composting and digestion","Kilograms per capita","0",""
"2010","Malta","Composting and digestion","Kilograms per capita","0",""
"2011","Malta","Composting and digestion","Kilograms per capita","7",""
"2012","Malta","Composting and digestion","Kilograms per capita","12",""
"2013","Malta","Composting and digestion","Kilograms per capita","0",""
"2014","Malta","Composting and digestion","Kilograms per capita","0",""
"2015","Malta","Composting and digestion","Kilograms per capita","0",""
"2005","Netherlands","Composting and digestion","Kilograms per capita","149",""
"2006","Netherlands","Composting and digestion","Kilograms per capita","142",""
"2007","Netherlands","Composting and digestion","Kilograms per capita","147",""
"2008","Netherlands","Composting and digestion","Kilograms per capita","142",""
"2009","Netherlands","Composting and digestion","Kilograms per capita","145",""
"2010","Netherlands","Composting and digestion","Kilograms per capita","139",""
"2011","Netherlands","Composting and digestion","Kilograms per capita","141",""
"2012","Netherlands","Composting and digestion","Kilograms per capita","140",""
"2013","Netherlands","Composting and digestion","Kilograms per capita","137",""
"2014","Netherlands","Composting and digestion","Kilograms per capita","143",""
"2015","Netherlands","Composting and digestion","Kilograms per capita","142",""
"2005","Norway","Composting and digestion","Kilograms per capita","55",""
"2006","Norway","Composting and digestion","Kilograms per capita","62",""
"2007","Norway","Composting and digestion","Kilograms per capita","73",""
"2008","Norway","Composting and digestion","Kilograms per capita","72",""
"2009","Norway","Composting and digestion","Kilograms per capita","74",""
"2010","Norway","Composting and digestion","Kilograms per capita","73",""
"2011","Norway","Composting and digestion","Kilograms per capita","73",""
"2012","Norway","Composting and digestion","Kilograms per capita","66",""
"2013","Norway","Composting and digestion","Kilograms per capita","78",""
"2014","Norway","Composting and digestion","Kilograms per capita","68",""
"2015","Norway","Composting and digestion","Kilograms per capita","70",""
"2005","Poland","Composting and digestion","Kilograms per capita","8",""
"2006","Poland","Composting and digestion","Kilograms per capita","9",""
"2007","Poland","Composting and digestion","Kilograms per capita","10",""
"2008","Poland","Composting and digestion","Kilograms per capita","10",""
"2009","Poland","Composting and digestion","Kilograms per capita","18",""
"2010","Poland","Composting and digestion","Kilograms per capita","21",""
"2011","Poland","Composting and digestion","Kilograms per capita","25",""
