"TIME","GEO","WST_OPER","UNIT","Value","Flag and Footnotes"
"2014","Iceland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","354",""
"2015","Iceland","Landfill / disposal (D1-D7, D12)","Kilograms per capita","342",""
"2005","Italy","Landfill / disposal (D1-D7, D12)","Kilograms per capita","295",""
"2006","Italy","Landfill / disposal (D1-D7, D12)","Kilograms per capita","300",""
"2007","Italy","Landfill / disposal (D1-D7, D12)","Kilograms per capita","289",""
"2008","Italy","Landfill / disposal (D1-D7, D12)","Kilograms per capita","273",""
"2009","Italy","Landfill / disposal (D1-D7, D12)","Kilograms per capita","263",""
"2010","Italy","Landfill / disposal (D1-D7, D12)","Kilograms per capita","253",""
"2011","Italy","Landfill / disposal (D1-D7, D12)","Kilograms per capita","222",""
"2012","Italy","Landfill / disposal (D1-D7, D12)","Kilograms per capita","197",""
"2013","Italy","Landfill / disposal (D1-D7, D12)","Kilograms per capita","181",""
"2014","Italy","Landfill / disposal (D1-D7, D12)","Kilograms per capita","154",""
"2015","Italy","Landfill / disposal (D1-D7, D12)","Kilograms per capita","129",""
"2005","Lithuania","Landfill / disposal (D1-D7, D12)","Kilograms per capita","353",""
"2006","Lithuania","Landfill / disposal (D1-D7, D12)","Kilograms per capita","370",""
"2007","Lithuania","Landfill / disposal (D1-D7, D12)","Kilograms per capita","385",""
"2008","Lithuania","Landfill / disposal (D1-D7, D12)","Kilograms per capita","387",""
"2009","Lithuania","Landfill / disposal (D1-D7, D12)","Kilograms per capita","345",""
"2010","Lithuania","Landfill / disposal (D1-D7, D12)","Kilograms per capita","348",""
"2011","Lithuania","Landfill / disposal (D1-D7, D12)","Kilograms per capita","341",""
"2012","Lithuania","Landfill / disposal (D1-D7, D12)","Kilograms per capita","325",""
"2013","Lithuania","Landfill / disposal (D1-D7, D12)","Kilograms per capita","270",""
"2014","Lithuania","Landfill / disposal (D1-D7, D12)","Kilograms per capita","255",""
"2015","Lithuania","Landfill / disposal (D1-D7, D12)","Kilograms per capita","242",""
"2005","Luxembourg","Landfill / disposal (D1-D7, D12)","Kilograms per capita","129",""
"2006","Luxembourg","Landfill / disposal (D1-D7, D12)","Kilograms per capita","130",""
"2007","Luxembourg","Landfill / disposal (D1-D7, D12)","Kilograms per capita","126",""
"2008","Luxembourg","Landfill / disposal (D1-D7, D12)","Kilograms per capita","123",""
"2009","Luxembourg","Landfill / disposal (D1-D7, D12)","Kilograms per capita","122",""
"2010","Luxembourg","Landfill / disposal (D1-D7, D12)","Kilograms per capita","121",""
"2011","Luxembourg","Landfill / disposal (D1-D7, D12)","Kilograms per capita","119",""
