"TIME","GEO","WST_OPER","UNIT","Value","Flag and Footnotes"
"2011","France","Material recycling","Kilograms per capita","111",""
"2012","France","Material recycling","Kilograms per capita","110",""
"2013","France","Material recycling","Kilograms per capita","111",""
"2014","France","Material recycling","Kilograms per capita","112","e"
"2015","France","Material recycling","Kilograms per capita","112","e"
"2005","Croatia","Material recycling","Kilograms per capita",":",""
"2006","Croatia","Material recycling","Kilograms per capita",":",""
"2007","Croatia","Material recycling","Kilograms per capita","9",""
"2008","Croatia","Material recycling","Kilograms per capita","8",""
"2009","Croatia","Material recycling","Kilograms per capita","7",""
"2010","Croatia","Material recycling","Kilograms per capita","12",""
"2011","Croatia","Material recycling","Kilograms per capita","29",""
"2012","Croatia","Material recycling","Kilograms per capita","51",""
"2013","Croatia","Material recycling","Kilograms per capita","54",""
"2014","Croatia","Material recycling","Kilograms per capita","56",""
"2015","Croatia","Material recycling","Kilograms per capita","64",""
"2005","Hungary","Material recycling","Kilograms per capita","40",""
"2006","Hungary","Material recycling","Kilograms per capita","43",""
"2007","Hungary","Material recycling","Kilograms per capita","49",""
"2008","Hungary","Material recycling","Kilograms per capita","60",""
"2009","Hungary","Material recycling","Kilograms per capita","57",""
"2010","Hungary","Material recycling","Kilograms per capita","64",""
"2011","Hungary","Material recycling","Kilograms per capita","66",""
"2012","Hungary","Material recycling","Kilograms per capita","84",""
"2013","Hungary","Material recycling","Kilograms per capita","81",""
"2014","Hungary","Material recycling","Kilograms per capita","94",""
"2015","Hungary","Material recycling","Kilograms per capita","98",""
"2005","Ireland","Material recycling","Kilograms per capita","216","s"
"2006","Ireland","Material recycling","Kilograms per capita","249","s"
"2007","Ireland","Material recycling","Kilograms per capita","246","s"
"2008","Ireland","Material recycling","Kilograms per capita","218",""
"2009","Ireland","Material recycling","Kilograms per capita","199",""
"2010","Ireland","Material recycling","Kilograms per capita","200",""
"2011","Ireland","Material recycling","Kilograms per capita","188",""
"2012","Ireland","Material recycling","Kilograms per capita","181",""
"2013","Ireland","Material recycling","Kilograms per capita",":",""
"2014","Ireland","Material recycling","Kilograms per capita",":",""
"2015","Ireland","Material recycling","Kilograms per capita",":",""
"2005","Iceland","Material recycling","Kilograms per capita",":",""
"2006","Iceland","Material recycling","Kilograms per capita",":",""
"2007","Iceland","Material recycling","Kilograms per capita",":",""
"2008","Iceland","Material recycling","Kilograms per capita","113",""
"2009","Iceland","Material recycling","Kilograms per capita","66",""
"2010","Iceland","Material recycling","Kilograms per capita","75",""
"2011","Iceland","Material recycling","Kilograms per capita","100",""
"2012","Iceland","Material recycling","Kilograms per capita","122",""
"2013","Iceland","Material recycling","Kilograms per capita","130",""
"2014","Iceland","Material recycling","Kilograms per capita","113",""
"2015","Iceland","Material recycling","Kilograms per capita","118",""
"2005","Italy","Material recycling","Kilograms per capita","64",""
"2006","Italy","Material recycling","Kilograms per capita","66",""
"2007","Italy","Material recycling","Kilograms per capita","95",""
"2008","Italy","Material recycling","Kilograms per capita","79",""
"2009","Italy","Material recycling","Kilograms per capita","102",""
"2010","Italy","Material recycling","Kilograms per capita","103",""
"2011","Italy","Material recycling","Kilograms per capita","120",""
"2012","Italy","Material recycling","Kilograms per capita","121",""
"2013","Italy","Material recycling","Kilograms per capita","122",""
"2014","Italy","Material recycling","Kilograms per capita","127",""
"2015","Italy","Material recycling","Kilograms per capita","126",""
"2005","Lithuania","Material recycling","Kilograms per capita","4","s"
"2006","Lithuania","Material recycling","Kilograms per capita","4","s"
"2007","Lithuania","Material recycling","Kilograms per capita","25",""
"2008","Lithuania","Material recycling","Kilograms per capita","31",""
"2009","Lithuania","Material recycling","Kilograms per capita","27",""
"2010","Lithuania","Material recycling","Kilograms per capita","14",""
"2011","Lithuania","Material recycling","Kilograms per capita","81",""
"2012","Lithuania","Material recycling","Kilograms per capita","87",""
"2013","Lithuania","Material recycling","Kilograms per capita","88",""
"2014","Lithuania","Material recycling","Kilograms per capita","91",""
"2015","Lithuania","Material recycling","Kilograms per capita","103",""
"2005","Luxembourg","Material recycling","Kilograms per capita","172",""
"2006","Luxembourg","Material recycling","Kilograms per capita","178",""
"2007","Luxembourg","Material recycling","Kilograms per capita","179",""
"2008","Luxembourg","Material recycling","Kilograms per capita","182",""
"2009","Luxembourg","Material recycling","Kilograms per capita","179",""
"2010","Luxembourg","Material recycling","Kilograms per capita","183",""
"2011","Luxembourg","Material recycling","Kilograms per capita","188",""
"2012","Luxembourg","Material recycling","Kilograms per capita","182",""
"2013","Luxembourg","Material recycling","Kilograms per capita","174",""
"2014","Luxembourg","Material recycling","Kilograms per capita","178",""
"2015","Luxembourg","Material recycling","Kilograms per capita","178","e"
"2005","Latvia","Material recycling","Kilograms per capita","12",""
"2006","Latvia","Material recycling","Kilograms per capita","13",""
"2007","Latvia","Material recycling","Kilograms per capita","17",""
"2008","Latvia","Material recycling","Kilograms per capita","20",""
"2009","Latvia","Material recycling","Kilograms per capita","26",""
"2010","Latvia","Material recycling","Kilograms per capita","28",""
"2011","Latvia","Material recycling","Kilograms per capita","30",""
"2012","Latvia","Material recycling","Kilograms per capita","41",""
"2013","Latvia","Material recycling","Kilograms per capita","71",""
"2014","Latvia","Material recycling","Kilograms per capita","85",""
"2015","Latvia","Material recycling","Kilograms per capita","92",""
"2005","Montenegro","Material recycling","Kilograms per capita",":",""
"2006","Montenegro","Material recycling","Kilograms per capita",":",""
"2007","Montenegro","Material recycling","Kilograms per capita",":",""
"2008","Montenegro","Material recycling","Kilograms per capita",":",""
"2009","Montenegro","Material recycling","Kilograms per capita",":",""
"2010","Montenegro","Material recycling","Kilograms per capita",":",""
"2011","Montenegro","Material recycling","Kilograms per capita","0",""
"2012","Montenegro","Material recycling","Kilograms per capita","5",""
"2013","Montenegro","Material recycling","Kilograms per capita","4",""
"2014","Montenegro","Material recycling","Kilograms per capita","43",""
"2015","Montenegro","Material recycling","Kilograms per capita","30",""
"2005","Former Yugoslav Republic of Macedonia, the","Material recycling","Kilograms per capita",":",""
"2006","Former Yugoslav Republic of Macedonia, the","Material recycling","Kilograms per capita",":",""
"2007","Former Yugoslav Republic of Macedonia, the","Material recycling","Kilograms per capita",":",""
"2008","Former Yugoslav Republic of Macedonia, the","Material recycling","Kilograms per capita","0",""
"2009","Former Yugoslav Republic of Macedonia, the","Material recycling","Kilograms per capita",":",""
"2010","Former Yugoslav Republic of Macedonia, the","Material recycling","Kilograms per capita",":",""
"2011","Former Yugoslav Republic of Macedonia, the","Material recycling","Kilograms per capita","0",""
"2012","Former Yugoslav Republic of Macedonia, the","Material recycling","Kilograms per capita",":",""
"2013","Former Yugoslav Republic of Macedonia, the","Material recycling","Kilograms per capita",":",""
"2014","Former Yugoslav Republic of Macedonia, the","Material recycling","Kilograms per capita",":",""
"2015","Former Yugoslav Republic of Macedonia, the","Material recycling","Kilograms per capita",":",""
"2005","Malta","Material recycling","Kilograms per capita","11",""
"2006","Malta","Material recycling","Kilograms per capita","15",""
"2007","Malta","Material recycling","Kilograms per capita","13",""
"2008","Malta","Material recycling","Kilograms per capita","20",""
"2009","Malta","Material recycling","Kilograms per capita","21",""
"2010","Malta","Material recycling","Kilograms per capita","32",""
"2011","Malta","Material recycling","Kilograms per capita","46",""
"2012","Malta","Material recycling","Kilograms per capita","45",""
"2013","Malta","Material recycling","Kilograms per capita","48",""
"2014","Malta","Material recycling","Kilograms per capita","45",""
"2015","Malta","Material recycling","Kilograms per capita","42",""
"2005","Netherlands","Material recycling","Kilograms per capita","131",""
"2006","Netherlands","Material recycling","Kilograms per capita","137",""
"2007","Netherlands","Material recycling","Kilograms per capita","146",""
"2008","Netherlands","Material recycling","Kilograms per capita","149",""
